"case","singlecore_makespan","old_5core_makespan","new_best_5core_makespan","old_added_copy_bytes","new_best_added_copy_bytes","old_speedup","new_best_speedup","improved","rescue_status"
"case_001","233110","47502","47502","4608","4608","4.907372321","4.907372321","False","scored"
"case_002","261945","61023","60477","181248","181248","4.292561821","4.331316038","True","scored"
"case_003","602212","560820","153592","3315930","6580482","1.073806212","3.920855253","True","scored"
"case_004","392357","88341","88341","442368","442368","4.441391879","4.441391879","False","scored"
"case_005","95618","95618","36336","0","1523442","1.000000000","2.631494936","True","scored"
"case_006","82837","26824","25863","736386","736386","3.088167313","3.202915362","True","scored"
"case_007","1012562","203834","203834","110592","110592","4.967581463","4.967581463","False","scored"
"case_008","487605","100603","100603","0","0","4.846823653","4.846823653","False","scored"
"case_009","153261","153261","44503","0","744450","1.000000000","3.443835247","True","scored"
"case_010","86969","21822","21074","406570","406570","3.985381725","4.126838759","True","scored"
"case_011","184697","49847","47789","1884160","1884160","3.705278151","3.864843374","True","scored"
"case_012","59088","14368","14368","137896","137896","4.112472160","4.112472160","False","scored"
"case_013","263949","54363","54363","32768","32768","4.855305999","4.855305999","False","scored"
"case_014","17698626","3665309","3665309","88238376","88238376","4.828685931","4.828685931","False","scored"
"case_015","177362","64843","43122","2366232","901632","2.735252841","4.113028153","True","scored"
"case_016","7715523","7715523","4059962","0","119572408","1.000000000","1.900392910","True","scored"
"case_017","162810","44241","41134","1156224","588672","3.680070523","3.958039578","True","scored"
"case_018","1004367","201392","201392","5582884","5582884","4.987124613","4.987124613","False","scored"
"case_019","81144","18931","18931","286816","286816","4.286302889","4.286302889","False","scored"
"case_020","532746","107650","107650","0","0","4.948871342","4.948871342","False","scored"
"case_021","6567937","1373463","1283116","22222848","18124800","4.782026891","5.118739849","True","scored"
"case_022","56780","13189","12818","114760","27648","4.305102737","4.429708223","True","scored"
"case_023","122614","34548","28261","775690","429024","3.549091120","4.338629206","True","scored"
"case_024","2555343","1780470","1581103","39323008","39328444","1.435206996","1.616177441","True","scored"
"case_025","4863026","975282","975282","110592","110592","4.986276790","4.986276790","False","scored"
"case_026","99203","37610","35574","827560","751096","2.637676150","2.788637769","True","scored"
"case_027","2363952","510549","510549","9510912","9510912","4.630215709","4.630215709","False","scored"
"case_028","43836040","41244172","9528372","336124416","336273408","1.062842042","4.600580246","True","scored"
"case_029","37555","9383","9383","0","0","4.002451242","4.002451242","False","scored"
"case_030","2808034","560819","560819","10660864","10660864","5.007023656","5.007023656","False","scored"
"case_031","1414369","567043","302029","21482066","13281792","2.494288793","4.682891378","True","scored"
"case_032","41443","10326","10197","159964","55440","4.013461166","4.064234579","True","scored"
"case_033","1774196","385426","375351","13167744","12826272","4.603207879","4.726765081","True","scored"
"case_034","842996","173623","173623","3350528","3350528","4.855324467","4.855324467","False","scored"
"case_035","169571","145935","48026","189068","998298","1.161962518","3.530816641","True","scored"
"case_036","931510","187182","187182","4608","4608","4.976493466","4.976493466","False","scored"
"case_037","210001","56156","46592","2375680","1925120","3.739600399","4.507233001","True","scored"
"case_038","1364555","273660","273660","7967776","7967776","4.986315136","4.986315136","False","scored"
"case_039","1435262","431161","395323","20480000","17604608","3.328830762","3.630605859","True","scored"
"case_040","253454","253454","74782","0","1967088","1.000000000","3.389238052","True","scored"
"case_041","6003957","3093537","1202006","64760832","38206464","1.940806591","4.994947613","True","scored"
"case_042","1686740","342779","342779","10375020","10375020","4.920779861","4.920779861","False","scored"
"case_043","677656","614352","165649","4187048","6117802","1.103041904","4.090915128","True","scored"
"case_044","154407","154407","120471","4438112","4933632","1.000000000","1.281694350","True","scored"
