case,before_makespan,after_makespan,task_count_before,compute_lower_bound,task_cp_observed,max_core_busy,min_core_busy,v3_observed_insertion,v3_adaptive_1p0,v3_adaptive_2p0,v3_traffic_feedback,v3_final_insertion
case_002,61023,60477,53,48000.0,9174,58500,56289,60477,66842,71190,,
case_003,460159,153592,28,87758.4,456439,453897,18228,459535,158211,160296,156304,153592
case_004,88341,88341,5,77122.8,88341,88341,85021,88341,247003,301296,247003,
case_005,75972,36336,134,12776.4,59239,48283,14613,73756,36336,38282,36336,36863
case_006,26824,25863,49,13800.0,8732,24849,21829,25863,27257,28376,28161,
case_009,91224,44503,408,23998.4,82507,83527,13450,90994,44503,44894,,45617
case_010,21822,21074,16,11099.2,21074,21487,18493,21074,25739,27070,25739,
case_011,49484,47789,16,36889.6,12469,49184,37407,49484,47789,47789,47789,47789
case_012,14368,14368,32,7114.4,9036,13677,12598,15894,17353,17993,,
case_015,44585,43122,46,20299.4,33333,43685,38218,43122,64197,66867,63499,
case_016,4059962,4059962,7015,1542995.0,1461987,3330482,2785220,4368826,4775131,timeout,,
case_017,42038,41134,60,22120.0,9576,41038,38794,41134,49305,49305,,
case_019,18931,18931,28,12234,16190,18004,16158,18944,21697,20325,,
case_022,12864,12818,32,10817.4,7329,12264,11834,12818,13417,13418,,
case_023,29372,28261,43,13911.6,9655,28572,26872,28261,33924,33731,,
case_024,1780470,1581103,303,510959.0,1760370,1760370,0,1780470,1581103,1581103,,1581103
case_026,35574,35574,17,14153.6,32242,32242,0,35574,44807,39598,45519,
case_029,9383,9383,5,7497.0,9383,9383,7738,9383,11787,11787,11787,
case_032,10197,10197,25,6799.0,9926,9926,9335,10348,12241,12241,,
case_035,90403,48026,95,28781.8,88803,88775,13913,90367,52078,51468,,48026
case_039,395323,395323,4,275576.0,395323,395323,0,395323,582846,685760,562938,
case_040,110337,74782,28,37150.2,110337,110337,21051,110337,76901,76889,76901,74782
case_043,269610,165649,38,103550.4,269610,269610,72022,269610,168001,168001,169502,165649
case_044,120471,120471,3,14880.8,120471,120471,0,120471,175772,175772,175986,
case_046,131291,131291,30,41849.6,103823,128691,97638,131490,150439,150439,146644,
case_047,297843,101911,221,51874.0,280605,285770,11345,294734,102089,102005,,101911
case_048,199687,110872,129,75960,194251,194184,3774,199586,111053,111053,,110872
case_049,136213,49513,208,33143.0,112659,123829,22552,125278,50258,49513,,52608
case_050,92252,38173,37,26682.2,84954,89702,13070,89096,39391,39391,,38173
case_051,423422,375514,72,121416.0,418722,418722,0,423422,375514,375514,,375514
case_053,461438,400697,291,242545.2,383088,448826,193181,400697,435878,435070,450113,
case_054,455781,215247,26,114843.2,454481,454481,90524,455811,224594,218201,216832,215247
case_055,28752,28050,24,13809.8,14507,28352,24343,28050,33668,35262,32400,
case_056,227754,72093,291,49190.6,198280,211976,22772,213164,73453,72093,,72553
case_057,14387,14055,21,9513.0,14028,14187,12291,14055,16465,18674,16446,
case_061,19723,18851,24,14291.2,16890,18162,16933,18851,24132,24617,22867,
case_063,241594,241594,103,196320.0,17742,233449,222583,241594,248015,272641,,
case_064,17941,10078,23,3528,15441,15407,36,17941,10078,10078,,10109
case_066,145106,93761,288,53938.8,127867,137221,63481,136465,98748,105566,96107,93761
case_067,15342684,14253135,437,11783046.4,7544313,15333984,15194554,15301977,14289710,14289710,,14253135
case_068,253935,107634,566,49820.2,246135,245011,27921,258339,117625,120236,107634,110172
case_069,16467,11294,31,3334.8,12116,11159,6474,15132,12054,11646,12065,11294
case_070,28605,28605,18,18366.4,25636,28305,25636,29338,38162,38865,31841,
case_071,11855,9491,31,2506.8,10155,9185,5301,11879,9522,9627,9494,9491
case_073,3236843,3147467,203,1632134.4,2082468,3232943,3086472,3147467,3364909,3364909,3435058,
case_075,1268518,375004,174,221504.0,1259282,1260637,33161,1268688,375887,397126,,375004
case_077,116609,116609,41,83081.2,116609,116609,98098,116609,155191,155368,155340,
case_078,553712,553712,24,407577.6,346182,553312,474994,553712,582531,582531,567992,
case_080,113883,110771,49,57808.8,51438,113083,80797,110771,128928,140452,126495,
case_082,492740,174445,130,113587.2,460829,475517,65885,488325,175891,174445,,177031
case_083,442480,442480,5,162167.2,442480,442480,409948,442480,572857,572857,542671,
case_085,2648500,734212,90,513043.2,2630568,2629069,0,2643939,734453,758467,,734212
case_086,94319,42689,26,15836.4,90829,92279,5733,94319,43375,42689,43375,43399
case_087,1595252,869798,129,718656.0,1590752,1590752,578373,1594915,870597,timeout,869798,871578
case_088,158216,80426,117,34721.6,151416,150347,24299,161534,81246,89046,80788,80426
case_090,513484,492093,26,168105.6,198930,513084,458943,492093,556311,556311,548217,
case_092,1661234,1661234,5,742830.4,1661234,1661234,1621291,1661234,2438012,2438012,2438012,
case_094,24715,24504,29,14188.8,10496,24261,22292,24504,29988,37791,29988,
case_096,22543,19739,20,10626.0,16293,22343,13764,19739,25543,25310,28814,
case_098,50514,43965,28,32540.2,39912,44154,32839,43965,50811,51589,50811,
case_100,43243,43189,20,20401.4,43143,43143,0,43189,56831,55163,57844,
