case,cores,status,makespan_cycles,added_copy_bytes,speedup,method,plan_file
case_001,1,scored,233110,0,1.000000000,singlecore,
case_001,2,scored,116868,1152,1.994643529,fm_selected_refined,plans/case_001_2cores.json
case_001,3,scored,78545,2304,2.967852823,fm_selected_refined,plans/case_001_3cores.json
case_001,4,scored,58984,3456,3.952088702,fm_selected_refined,plans/case_001_4cores.json
case_001,5,scored,47502,4608,4.907372321,fm_5core_latest,plans/case_001_5cores.json
case_002,1,scored,261945,0,1.000000000,singlecore,
case_002,2,scored,141748,73728,1.847962581,fm_selected_refined,plans/case_002_2cores.json
case_002,3,scored,98801,153600,2.651238348,fm_selected_refined,plans/case_002_3cores.json
case_002,4,scored,77557,153600,3.377451423,fm_selected_refined,plans/case_002_4cores.json
case_002,5,scored,59399,198144,4.409922726,fm_5core_latest,plans/case_002_5cores.json
case_003,1,scored,602212,0,1.000000000,singlecore,
case_003,2,scored,332339,6580482,1.812041319,fm_selected_refined,plans/case_003_2cores.json
case_003,3,scored,230351,6591042,2.614323359,fm_selected_refined,plans/case_003_3cores.json
case_003,4,scored,193382,6636094,3.114105760,fm_selected_refined,plans/case_003_4cores.json
case_003,5,scored,150915,6580482,3.990405195,fm_5core_latest,plans/case_003_5cores.json
case_004,1,scored,392357,0,1.000000000,singlecore,
case_004,2,scored,199074,110592,1.970910315,fm_selected_refined,plans/case_004_2cores.json
case_004,3,scored,134043,221184,2.927098021,fm_selected_refined,plans/case_004_3cores.json
case_004,4,scored,104188,331776,3.765855953,fm_selected_refined,plans/case_004_4cores.json
case_004,5,scored,88341,442368,4.441391879,fm_5core_latest,plans/case_004_5cores.json
case_005,1,scored,95618,0,1.000000000,singlecore,
case_005,2,scored,59269,1523442,1.613288566,fm_selected_refined,plans/case_005_2cores.json
case_005,3,scored,43691,1523442,2.188505642,fm_selected_refined,plans/case_005_3cores.json
case_005,4,scored,38055,1523442,2.512626462,fm_selected_refined,plans/case_005_4cores.json
case_005,5,scored,36336,1523442,2.631494936,fm_5core_latest,plans/case_005_5cores.json
case_006,1,scored,82837,16400,1.000000000,singlecore,
case_006,2,scored,52818,509214,1.568347912,fm_selected_refined,plans/case_006_2cores.json
case_006,3,scored,37286,525606,2.221664968,fm_selected_refined,plans/case_006_3cores.json
case_006,4,scored,28393,700158,2.917514880,fm_selected_refined,plans/case_006_4cores.json
case_006,5,scored,25679,736394,3.225865493,fm_5core_latest,plans/case_006_5cores.json
case_007,1,scored,1012562,0,1.000000000,singlecore,
case_007,2,scored,507494,27648,1.995219648,fm_selected_refined,plans/case_007_2cores.json
case_007,3,scored,338094,55296,2.994912657,fm_selected_refined,plans/case_007_3cores.json
case_007,4,scored,254398,82944,3.980227832,fm_selected_refined,plans/case_007_4cores.json
case_007,5,scored,203834,110592,4.967581463,fm_5core_latest,plans/case_007_5cores.json
case_008,1,scored,487605,0,1.000000000,singlecore,
case_008,2,scored,244266,0,1.996204957,fm_selected_refined,plans/case_008_2cores.json
case_008,3,scored,163359,0,2.984867684,fm_selected_refined,plans/case_008_3cores.json
case_008,4,scored,123060,0,3.962335446,fm_selected_refined,plans/case_008_4cores.json
case_008,5,scored,100500,36864,4.851791045,fm_5core_latest,plans/case_008_5cores.json
case_009,1,scored,153261,0,1.000000000,singlecore,
case_009,2,scored,97289,740354,1.575316840,fm_selected_refined,plans/case_009_2cores.json
case_009,3,scored,66898,740354,2.290965350,fm_selected_refined,plans/case_009_3cores.json
case_009,4,scored,52976,744450,2.893027031,fm_selected_refined,plans/case_009_4cores.json
case_009,5,scored,44085,750610,3.476488602,fm_5core_latest,plans/case_009_5cores.json
case_010,1,scored,86969,0,1.000000000,singlecore,
