case,cores,status,makespan_cycles,added_copy_bytes,speedup,spill_added_copy_bytes,official_evals,solver_seconds,plan_file,result_file
case_001,1,singlecore_reference,233110,0,1.000000000,,0,0,,
case_001,2,scored,116868,1152,1.994643529,0,5,3.506,results_problem2/case_001_2cores/best_plan.json,
case_001,3,scored,78545,2304,2.967852823,0,6,4.262,results_problem2/case_001_3cores/best_plan.json,
case_001,4,scored,58984,3456,3.952088702,0,5,2.454,results_problem2/case_001_4cores/best_plan.json,
case_001,5,scored,47502,4608,4.907372321,0,5,3.622,results_problem2/case_001_5cores/best_plan.json,
case_002,1,singlecore_reference,261945,0,1.000000000,,0,0,,
case_002,2,scored,132664,273408,1.974499487,0,8,14.281,results_problem2/case_002_2cores/best_plan.json,
case_002,3,scored,89603,331776,2.923395422,0,7,14.444,results_problem2/case_002_3cores/best_plan.json,
case_002,4,scored,68778,384000,3.808557969,0,7,15.318,results_problem2/case_002_4cores/best_plan.json,
case_002,5,scored,54733,150528,4.785869585,0,11,21.565,results_problem2/case_002_5cores/best_plan.json,
case_003,1,singlecore_reference,602212,0,1.000000000,,0,0,,
case_003,2,scored,314359,1432334,1.915682389,0,11,176.308,results_problem2/case_003_2cores/best_plan.json,
case_003,3,scored,213477,2286872,2.820969004,0,11,167.900,results_problem2/case_003_3cores/best_plan.json,
case_003,4,scored,178372,3378264,3.376157693,0,11,165.800,results_problem2/case_003_4cores/best_plan.json,
case_003,5,scored,142562,4613028,4.224211220,0,11,163.882,results_problem2/case_003_5cores/best_plan.json,
case_004,1,singlecore_reference,392357,0,1.000000000,,0,0,,
case_004,2,scored,199074,110592,1.970910315,0,5,5.299,results_problem2/case_004_2cores/best_plan.json,
case_004,3,scored,134043,221184,2.927098021,0,6,4.802,results_problem2/case_004_3cores/best_plan.json,
case_004,4,scored,104188,331776,3.765855953,0,7,6.838,results_problem2/case_004_4cores/best_plan.json,
case_004,5,scored,88341,442368,4.441391879,0,5,4.157,results_problem2/case_004_5cores/best_plan.json,
case_005,1,singlecore_reference,95618,0,1.000000000,,0,0,,
case_005,2,scored,50595,490118,1.889870541,0,12,36.265,results_problem2/case_005_2cores/best_plan.json,
case_005,3,scored,37033,813578,2.581967434,0,10,31.476,results_problem2/case_005_3cores/best_plan.json,
case_005,4,scored,31896,1187408,2.997805367,0,10,33.755,results_problem2/case_005_4cores/best_plan.json,
case_005,5,scored,32002,1405080,2.987875758,0,10,35.480,results_problem2/case_005_5cores/best_plan.json,
case_006,1,singlecore_reference,82837,0,1.000000000,,0,0,,
case_006,2,scored,38939,150472,2.127353039,0,11,6.800,results_problem2/case_006_2cores/best_plan.json,
case_006,3,scored,26530,352612,3.122389747,0,11,7.492,results_problem2/case_006_3cores/best_plan.json,
case_006,4,scored,21219,317704,3.903906876,0,9,4.451,results_problem2/case_006_4cores/best_plan.json,
case_006,5,scored,19260,422428,4.300986501,0,11,8.298,results_problem2/case_006_5cores/best_plan.json,
case_007,1,singlecore_reference,1012562,0,1.000000000,,0,0,,
case_007,2,scored,507494,27648,1.995219648,0,5,17.804,results_problem2/case_007_2cores/best_plan.json,
case_007,3,scored,338094,55296,2.994912657,0,6,19.316,results_problem2/case_007_3cores/best_plan.json,
case_007,4,scored,254398,82944,3.980227832,0,6,19.002,results_problem2/case_007_4cores/best_plan.json,
case_007,5,scored,203834,110592,4.967581463,0,6,18.947,results_problem2/case_007_5cores/best_plan.json,
case_008,1,singlecore_reference,487605,0,1.000000000,,0,0,,
case_008,2,scored,244266,0,1.996204957,0,5,4.357,results_problem2/case_008_2cores/best_plan.json,
case_008,3,scored,163359,0,2.984867684,0,6,5.560,results_problem2/case_008_3cores/best_plan.json,
case_008,4,scored,123060,0,3.962335446,0,6,5.763,results_problem2/case_008_4cores/best_plan.json,
case_008,5,scored,100603,0,4.846823653,0,6,5.911,results_problem2/case_008_5cores/best_plan.json,
case_009,1,singlecore_reference,153261,0,1.000000000,,0,0,,
case_009,2,scored,81040,379766,1.891177196,0,11,56.874,results_problem2/case_009_2cores/best_plan.json,
case_009,3,scored,56020,524498,2.735826491,0,11,58.044,results_problem2/case_009_3cores/best_plan.json,
case_009,4,scored,43280,686002,3.541150647,0,11,59.882,results_problem2/case_009_4cores/best_plan.json,
case_009,5,scored,36606,740232,4.186772660,0,11,60.301,results_problem2/case_009_5cores/best_plan.json,
case_010,1,singlecore_reference,86969,0,1.000000000,,0,0,,
case_010,2,scored,43413,259252,2.003293944,0,6,4.444,results_problem2/case_010_2cores/best_plan.json,
case_010,3,scored,29785,263364,2.919892563,0,11,7.411,results_problem2/case_010_3cores/best_plan.json,
case_010,4,scored,23588,362832,3.687001865,0,8,3.579,results_problem2/case_010_4cores/best_plan.json,
case_010,5,scored,20917,330976,4.157814218,0,11,7.817,results_problem2/case_010_5cores/best_plan.json,
case_011,1,singlecore_reference,184697,0,1.000000000,,0,0,,
case_011,2,scored,92646,180224,1.993577704,0,6,4.666,results_problem2/case_011_2cores/best_plan.json,
case_011,3,scored,62358,888832,2.961881395,0,10,8.917,results_problem2/case_011_3cores/best_plan.json,
case_011,4,scored,46880,540672,3.939782423,0,7,6.077,results_problem2/case_011_4cores/best_plan.json,
case_011,5,scored,39706,1071104,4.651614366,0,9,9.320,results_problem2/case_011_5cores/best_plan.json,
case_012,1,singlecore_reference,59088,0,1.000000000,,0,0,,
case_012,2,scored,25755,60120,2.294234129,0,9,8.217,results_problem2/case_012_2cores/best_plan.json,
