case,cores,candidate,operation,makespan,added_copy_bytes,cache_hit_rate,accepted
case_001,1,baseline_a_problem2_plan,problem2_plan,233110,0,0.0,True
case_001,2,baseline_a_problem2_plan,problem2_plan,116868,1152,0.0,True
case_001,2,l2_scatter_0,l2_scatter,233110,0,0.0,False
case_001,2,adaptive_partition_l2,adaptive_partition,116868,1152,0.0,False
case_001,3,baseline_a_problem2_plan,problem2_plan,78545,2304,0.0,True
case_001,3,l2_scatter_0,l2_scatter,155211,1152,0.0,False
case_001,3,adaptive_partition_l2,adaptive_partition,78545,2304,0.0,False
case_001,4,baseline_a_problem2_plan,problem2_plan,58984,3456,0.0,True
case_001,4,l2_scatter_0,l2_scatter,116888,2304,0.0,False
case_001,4,adaptive_partition_l2,adaptive_partition,58984,3456,0.0,False
case_001,5,baseline_a_problem2_plan,problem2_plan,47502,4608,0.0,True
case_001,5,l2_scatter_0,l2_scatter,93697,3456,0.0,False
case_001,5,adaptive_partition_l2,adaptive_partition,47502,4608,0.0,False
case_002,1,baseline_a_problem2_plan,problem2_plan,261945,0,0.0,True
case_002,2,baseline_a_problem2_plan,problem2_plan,132664,273408,0.0,True
case_002,2,direct_affinity,direct_affinity,132664,307200,0.0,False
case_002,2,private_cache_affinity,private_cache_affinity,132664,307200,0.0,False
case_002,2,l2_scatter_0,l2_scatter,132664,273408,0.0,False
case_002,3,baseline_a_problem2_plan,problem2_plan,89603,331776,0.0,True
case_002,3,private_cache_affinity,private_cache_affinity,90444,331776,0.0,False
case_002,4,baseline_a_problem2_plan,problem2_plan,68778,384000,0.0,True
case_002,4,private_cache_affinity,private_cache_affinity,68778,384000,0.0,False
case_002,5,baseline_a_problem2_plan,problem2_plan,54733,150528,0.0,True
case_002,5,direct_affinity,direct_affinity,54733,122880,0.0,True
case_002,5,private_cache_affinity,private_cache_affinity,55445,122880,0.0,False
case_002,5,l2_scatter_0,l2_scatter,54733,122880,0.0,False
case_002,5,fifo_reuse_reorder,reuse_window_reorder,54733,150528,0.0,False
case_002,5,adaptive_partition_l2,adaptive_partition,55801,411648,0.0,False
case_003,1,baseline_a_problem2_plan,problem2_plan,602212,0,0.0,True
case_003,2,baseline_a_problem2_plan,problem2_plan,312985,1432334,0.22535237507185896,True
case_003,2,direct_affinity,direct_affinity,312938,1340362,0.21183268960148507,True
case_003,2,private_cache_affinity,private_cache_affinity,316153,1319370,0.19230863901527825,False
case_003,2,l2_scatter_0,l2_scatter,323971,1432334,0.22535237507185896,False
case_003,2,l2_scatter_1,l2_scatter,331403,1434826,0.21070089401692274,False
case_003,2,adaptive_partition_l2,adaptive_partition,322398,1436294,0.20857103386225206,False
case_003,3,baseline_a_problem2_plan,problem2_plan,212524,2286872,0.311427748131757,True
case_003,3,direct_affinity,direct_affinity,224469,2334620,0.3202120071235905,False
case_003,3,private_cache_affinity,private_cache_affinity,217919,2433500,0.32088682609085384,False
case_003,3,l2_scatter_0,l2_scatter,215334,2286872,0.2769362717780454,False
case_003,3,l2_scatter_1,l2_scatter,249047,2296216,0.23272392201778838,False
case_003,3,adaptive_partition_l2,adaptive_partition,219840,2397280,0.3365874210532631,False
case_003,4,baseline_a_problem2_plan,problem2_plan,170789,3378264,0.4243925470626966,True
case_003,4,direct_affinity,direct_affinity,175410,3440674,0.45913332737988927,False
case_003,4,private_cache_affinity,private_cache_affinity,184005,3493540,0.4191120597652081,False
case_003,4,l2_scatter_0,l2_scatter,195689,3396696,0.35312997123895823,False
case_003,4,l2_scatter_1,l2_scatter,197974,3427480,0.3948220998857706,False
case_003,4,fifo_reuse_reorder,reuse_window_reorder,192031,3378264,0.3516225573616572,False
case_003,4,adaptive_partition_l2,adaptive_partition,175846,3438306,0.4010295711410435,False
case_003,5,baseline_a_problem2_plan,problem2_plan,135891,4613028,0.5238378012274718,True
case_003,5,private_cache_affinity,private_cache_affinity,141396,4539436,0.5235563021410163,False
case_003,5,l2_scatter_0,l2_scatter,135891,4514724,0.5134413593545802,True
case_003,5,l2_scatter_1,l2_scatter,147061,4523172,0.4722714856174051,False
case_003,5,fifo_reuse_reorder,reuse_window_reorder,137650,4613028,0.5238378012274718,False
case_003,5,adaptive_partition_l2,adaptive_partition,138271,4553772,0.5129064791583283,False
case_004,1,baseline_a_problem2_plan,problem2_plan,392357,0,0.0,True
case_004,2,baseline_a_problem2_plan,problem2_plan,199074,110592,0.0,True
case_004,2,l2_scatter_1,l2_scatter,392357,0,0.0,False
case_004,2,adaptive_partition_l2,adaptive_partition,217314,1815552,0.2616279069767442,False
case_004,3,baseline_a_problem2_plan,problem2_plan,134043,221184,0.0,True
case_004,3,l2_scatter_1,l2_scatter,262578,110592,0.0,False
case_004,3,adaptive_partition_l2,adaptive_partition,145599,221184,0.0,False
case_004,4,baseline_a_problem2_plan,problem2_plan,104188,331776,0.0,True
case_004,4,l2_scatter_1,l2_scatter,197443,221184,0.0,False
case_004,4,adaptive_partition_l2,adaptive_partition,111330,1176576,0.13095238095238096,False
case_004,5,baseline_a_problem2_plan,problem2_plan,88341,442368,0.0,True
case_004,5,l2_scatter_1,l2_scatter,164060,331776,0.0,False
case_004,5,adaptive_partition_l2,adaptive_partition,91407,2147328,0.1778846153846154,False
case_005,1,baseline_a_problem2_plan,problem2_plan,95618,0,0.0,True
case_005,2,baseline_a_problem2_plan,problem2_plan,50595,490118,0.1189132419508271,True
case_005,2,direct_affinity,direct_affinity,50711,475910,0.1020553672243144,False
case_005,2,private_cache_affinity,private_cache_affinity,51797,475910,0.1020553672243144,False
case_005,2,l2_scatter_0,l2_scatter,51281,471686,0.13237637478780626,False
case_005,2,l2_scatter_1,l2_scatter,51231,448454,0.13110635279455343,False
case_005,2,fifo_reuse_reorder,reuse_window_reorder,50696,490118,0.1078777508922244,False
case_005,2,adaptive_partition_l2,adaptive_partition,51454,455814,0.18414455886924486,False
case_005,3,baseline_a_problem2_plan,problem2_plan,36703,813578,0.3654862579281184,True
case_005,3,private_cache_affinity,private_cache_affinity,36836,841418,0.42875299441043385,False
case_005,3,l2_scatter_0,l2_scatter,36703,813578,0.3654862579281184,False
case_005,3,l2_scatter_1,l2_scatter,37121,834410,0.3813826082297471,False
case_005,4,baseline_a_problem2_plan,problem2_plan,30482,1187408,0.3419636045475643,True
case_005,4,direct_affinity,direct_affinity,30366,1211728,0.32731807792252937,True
case_005,4,l2_scatter_0,l2_scatter,31329,1189904,0.3920035207081166,False
case_005,4,l2_scatter_1,l2_scatter,31025,1194320,0.3201653480970623,False
case_005,4,fifo_reuse_reorder,reuse_window_reorder,30754,1187408,0.3829364973511665,False
case_005,4,adaptive_partition_l2,adaptive_partition,30399,1218672,0.3229211976064507,False
case_005,5,baseline_a_problem2_plan,problem2_plan,27973,1405080,0.34224870549172504,True
case_005,5,direct_affinity,direct_affinity,27941,1416726,0.30985197404322595,True
case_005,5,l2_scatter_0,l2_scatter,29957,1377336,0.26031065366106926,False
case_005,5,l2_scatter_1,l2_scatter,30172,1393656,0.26297564633453213,False
case_005,5,fifo_reuse_reorder,reuse_window_reorder,28088,1405080,0.3320149180027184,False
case_006,1,baseline_a_problem2_plan,problem2_plan,82837,16400,0.029275126148920052,True
case_006,2,baseline_a_problem2_plan,problem2_plan,38939,150472,0.21680841862476574,True
case_006,2,direct_affinity,direct_affinity,39134,128452,0.19113806831208816,False
case_006,2,private_cache_affinity,private_cache_affinity,39134,95676,0.14965488096915058,False
case_006,2,l2_scatter_0,l2_scatter,41380,166856,0.23487925372209484,False
case_006,2,l2_scatter_1,l2_scatter,39199,134080,0.19786449966928094,False
case_006,2,fifo_reuse_reorder,reuse_window_reorder,39570,150472,0.21680841862476574,False
case_006,2,adaptive_partition_l2,adaptive_partition,40698,296156,0.34641593735275195,False
case_006,3,baseline_a_problem2_plan,problem2_plan,26530,352612,0.393516151574078,True
case_006,3,direct_affinity,direct_affinity,26504,352612,0.393516151574078,True
case_006,3,private_cache_affinity,private_cache_affinity,26504,352612,0.393516151574078,False
case_006,3,l2_scatter_0,l2_scatter,28719,352612,0.393516151574078,False
case_006,3,l2_scatter_1,l2_scatter,28086,319836,0.3651474878744551,False
case_006,3,fifo_reuse_reorder,reuse_window_reorder,26530,352612,0.393516151574078,False
case_006,3,adaptive_partition_l2,adaptive_partition,29190,357744,0.3481362737996226,False
case_006,4,baseline_a_problem2_plan,problem2_plan,21197,317704,0.3689023115344407,True
case_006,4,direct_affinity,direct_affinity,20933,339712,0.3846362944438404,True
case_006,4,private_cache_affinity,private_cache_affinity,20793,334068,0.38068152025478924,True
case_006,4,l2_scatter_0,l2_scatter,21792,317704,0.3689023115344407,False
case_006,4,l2_scatter_1,l2_scatter,25087,317704,0.3689023115344407,False
case_006,4,adaptive_partition_l2,adaptive_partition,22339,514608,0.414118131931035,False
case_006,5,baseline_a_problem2_plan,problem2_plan,17666,422428,0.3639125367227751,True
case_006,5,direct_affinity,direct_affinity,18582,483240,0.4338480483180548,False
case_006,5,private_cache_affinity,private_cache_affinity,18540,398760,0.4003557960670686,False
case_006,5,l2_scatter_0,l2_scatter,18867,422432,0.37645535520675216,False
case_006,5,l2_scatter_1,l2_scatter,18867,356896,0.3247135439978516,False
case_006,5,fifo_reuse_reorder,reuse_window_reorder,18058,422428,0.35390434251376646,False
case_006,5,adaptive_partition_l2,adaptive_partition,18488,475048,0.4229735534389199,False
case_007,1,baseline_a_problem2_plan,problem2_plan,1012562,0,0.0,True
case_007,2,baseline_a_problem2_plan,problem2_plan,507494,27648,0.0,True
case_007,2,l2_scatter_1,l2_scatter,1012562,0,0.0,False
case_007,2,adaptive_partition_l2,adaptive_partition,507494,27648,0.0,False
case_007,3,baseline_a_problem2_plan,problem2_plan,338094,55296,0.0,True
case_007,3,l2_scatter_1,l2_scatter,675302,27648,0.0,False
